depth,branching,size,growth_30m,burstiness,label,event,root_id
3,15,21,20,0.3869,1,charliehebdo,552838551071911936
1,5,6,5,-0.1127,1,charliehebdo,552842762505428992
10,7,58,3,0.4289,1,charliehebdo,552845136414380032
2,14,16,12,0.2481,1,charliehebdo,552848620375261184
0,0,1,1,0.0,1,charliehebdo,552956517197303810
1,3,4,2,0.1351,1,charliehebdo,552978099357237248
1,2,3,3,-0.283,1,charliehebdo,552978184413921281
3,4,7,3,0.1978,1,charliehebdo,552978376424964097
3,12,17,9,0.1661,1,charliehebdo,552978476605923328
4,14,21,7,0.4122,1,charliehebdo,552979279039197186
1,2,3,3,-0.414,1,charliehebdo,552980261512949760
4,9,14,4,0.3849,1,charliehebdo,552981833189969921
12,12,36,5,0.1915,1,charliehebdo,552982443511144448
1,4,5,2,-0.1977,1,charliehebdo,552982613288157184
4,20,26,5,0.365,1,charliehebdo,552983615747796994
2,10,13,1,-0.0127,1,charliehebdo,552984347754897409
1,3,4,2,0.068,1,charliehebdo,552984502063337472
6,58,110,8,0.7418,1,charliehebdo,552984916070531072
2,18,20,10,0.0354,1,charliehebdo,552985611070881792
18,13,78,29,0.7288,1,charliehebdo,552985855854661633
1,5,6,1,0.2245,1,charliehebdo,552985912901001218
2,3,6,1,0.0042,1,charliehebdo,552986187364065281
12,14,38,3,0.5344,1,charliehebdo,552991544731774976
19,6,178,19,0.8051,1,charliehebdo,552993818816299008
9,5,16,3,0.2602,1,charliehebdo,552996335319007233
6,12,29,6,0.589,1,charliehebdo,553017543330648064
1,5,6,4,0.0458,1,charliehebdo,553096753898323968
2,3,5,1,-0.1852,1,charliehebdo,553098571323437056
9,8,21,6,0.2282,1,charliehebdo,553099685888790528
6,6,21,14,0.0771,1,charliehebdo,553102901619748864
1,4,5,3,-0.1807,1,charliehebdo,553103334626701312
1,3,4,1,0.0992,1,charliehebdo,553103772852191233
6,4,15,14,0.2503,1,charliehebdo,553104503520890880
1,6,7,5,0.1487,1,charliehebdo,553107921081749504
6,11,21,18,0.0247,1,charliehebdo,553110339236409346
6,13,20,6,0.6024,1,charliehebdo,553115168084074497
1,4,5,3,-0.0225,1,charliehebdo,553115236992290816
1,3,4,1,-0.099,1,charliehebdo,553116915325870083
3,9,16,5,0.3738,1,charliehebdo,553118198741356544
2,12,15,8,0.0199,1,charliehebdo,553121732387946496
1,6,7,2,0.3037,1,charliehebdo,553123329561743361
3,4,8,3,0.3135,1,charliehebdo,553124268196642816
5,7,12,4,0.2975,1,charliehebdo,553129559173115904
1,3,4,2,-0.2829,1,charliehebdo,553130148107943937
16,19,52,31,0.6926,1,charliehebdo,553133704881917952
4,14,22,13,0.3979,1,charliehebdo,553136565296582657
1,12,13,8,0.0264,1,charliehebdo,553136604882014208
17,13,39,25,0.4644,1,charliehebdo,553136845589319680
2,17,20,20,-0.1043,1,charliehebdo,553137849663361024
1,1,2,1,0.0,1,charliehebdo,553137946740932608
6,13,24,13,0.3403,1,charliehebdo,553139203320860672
2,7,9,8,0.4165,1,charliehebdo,553139825008599041
8,5,45,16,0.6386,1,charliehebdo,553141087725170688
2,9,12,11,0.4604,1,charliehebdo,553141732452626432
3,7,13,11,0.4151,1,charliehebdo,553144712920834048
1,3,4,3,-0.0577,1,charliehebdo,553152215050125313
4,18,22,3,0.1801,1,charliehebdo,553152395371630592
1,11,12,4,0.2568,1,charliehebdo,553160652567498752
1,14,15,10,0.4925,1,charliehebdo,553164985460068352
2,7,9,3,0.4147,1,charliehebdo,553167429665587200
1,3,4,3,0.0039,1,charliehebdo,553167814941761538
1,5,6,5,-0.041,1,charliehebdo,553169307824177152
0,0,1,1,0.0,1,charliehebdo,553176411541098499
1,5,6,3,-0.1397,1,charliehebdo,553176753297162240
2,17,21,11,0.1202,1,charliehebdo,553176929411825664
4,19,29,16,0.6202,1,charliehebdo,553184482241814530
11,12,26,25,0.0895,1,charliehebdo,553184643055644674
1,9,10,8,0.3512,1,charliehebdo,553184958958022657
5,13,27,2,0.3698,1,charliehebdo,553185370108878849
6,12,25,5,0.4988,1,charliehebdo,553186555150749696
3,1,4,2,-0.0191,1,charliehebdo,553188382403477505
1,1,2,1,0.0,1,charliehebdo,553190393370923008
4,15,24,16,0.6397,1,charliehebdo,553197863971610624
2,18,21,19,0.4565,1,charliehebdo,553198972287082497
1,5,6,2,-0.3976,1,charliehebdo,553202028575731713
2,6,9,8,0.3133,1,charliehebdo,553212962044149761
3,8,11,9,0.4983,1,charliehebdo,553216909022605312
1,2,3,2,-0.2026,1,charliehebdo,553221600955621376
3,15,20,4,0.2046,1,charliehebdo,553233728030650368
3,17,20,11,0.5386,1,charliehebdo,553461741917863936
1,2,3,3,-0.6899,1,charliehebdo,553466230989144064
1,2,3,2,-0.0994,1,charliehebdo,553467311261503488
3,3,6,6,-0.0811,1,charliehebdo,553468492700454912
11,8,30,23,0.663,1,charliehebdo,553469523945590784
2,19,21,21,-0.1041,1,charliehebdo,553469733656203264
1,8,9,8,0.4212,1,charliehebdo,553470140042735616
2,17,19,15,0.3354,1,charliehebdo,553470382129565696
2,8,10,7,-0.04,1,charliehebdo,553470492565602305
1,7,8,8,0.2423,1,charliehebdo,553470733180223489
1,6,7,6,0.167,1,charliehebdo,553470977972375553
1,2,3,3,-0.5156,1,charliehebdo,553471193110421504
1,9,10,9,0.4323,1,charliehebdo,553471987411324929
2,2,4,4,-0.15,1,charliehebdo,553472225798795264
1,4,5,4,0.0201,1,charliehebdo,553472437644320769
2,3,5,4,0.1746,1,charliehebdo,553472488462901248
8,6,23,9,0.4559,1,charliehebdo,553473416905629696
0,0,1,1,0.0,1,charliehebdo,553473550523580416
1,2,3,2,-0.0109,1,charliehebdo,553473704060284928
1,5,6,5,0.2512,1,charliehebdo,553474012446478336
1,12,13,5,0.1479,1,charliehebdo,553474188259102720
2,9,12,9,0.2366,1,charliehebdo,553474232596701184
7,9,42,10,0.5263,1,charliehebdo,553474514496278528
1,5,6,4,0.2878,1,charliehebdo,553474965278691330
1,8,9,7,0.42,1,charliehebdo,553475269873643520
1,12,13,10,0.408,1,charliehebdo,553475430897156096
2,11,13,4,0.0941,1,charliehebdo,553475729187680258
10,4,21,15,0.4869,1,charliehebdo,553475824369012736
1,6,7,6,0.2936,1,charliehebdo,553476073703620609
2,15,17,15,0.5233,1,charliehebdo,553476471470432256
1,4,5,5,-0.3503,1,charliehebdo,553476490315431937
1,4,5,5,-0.1918,1,charliehebdo,553476600985948160
7,4,15,7,0.5564,1,charliehebdo,553476880339599360
1,8,9,5,0.1418,1,charliehebdo,553477352542707712
1,8,9,7,0.319,1,charliehebdo,553477554041257985
1,7,8,6,0.2055,1,charliehebdo,553477692591726592
2,5,7,6,0.1829,1,charliehebdo,553477943616634880
1,10,11,8,0.2716,1,charliehebdo,553478142791548928
2,5,7,6,0.3772,1,charliehebdo,553478289474740224
2,18,24,21,0.5838,1,charliehebdo,553478677359775744
1,8,9,8,0.3739,1,charliehebdo,553479222434729984
0,0,1,1,0.0,1,charliehebdo,553479315711864832
3,19,27,8,0.4664,1,charliehebdo,553480082996879360
1,1,2,2,0.0,1,charliehebdo,553480292498153472
1,6,7,3,0.0343,1,charliehebdo,553480702067736578
1,5,6,5,0.0149,1,charliehebdo,553481076916883456
1,3,4,3,0.0751,1,charliehebdo,553483415954411520
11,15,28,13,0.4014,1,charliehebdo,553484365012148225
1,10,11,11,0.2581,1,charliehebdo,553484760233017344
6,9,16,13,0.3494,1,charliehebdo,553484780093050880
1,16,17,14,0.4394,1,charliehebdo,553485452943302656
1,10,11,8,0.289,1,charliehebdo,553486439129038848
1,11,12,9,0.3108,1,charliehebdo,553486529231089664
1,14,15,12,0.5289,1,charliehebdo,553486796534054912
1,4,5,5,-0.0966,1,charliehebdo,553487544508493825
4,16,25,22,0.2493,1,charliehebdo,553487971497041920
1,9,10,9,0.4524,1,charliehebdo,553488054640340992
1,3,4,2,-0.1224,1,charliehebdo,553488824656203776
1,8,9,8,0.3814,1,charliehebdo,553489393202499584
1,2,3,2,-0.0015,1,charliehebdo,553490238979727360
2,17,20,20,-0.0277,1,charliehebdo,553491540535156736
2,6,8,8,0.1591,1,charliehebdo,553493222052605952
1,5,6,3,0.1121,1,charliehebdo,553493510306152448
7,19,36,21,0.5952,1,charliehebdo,553493707472011264
3,18,25,22,0.5463,1,charliehebdo,553493785523400704
4,15,23,21,0.629,1,charliehebdo,553495137314435072
3,16,20,12,0.1394,1,charliehebdo,553495922639122432
2,19,21,7,0.1219,1,charliehebdo,553500238246608896
3,20,28,23,0.4342,1,charliehebdo,553501357156876290
6,13,36,13,0.5616,1,charliehebdo,553501773517033472
5,9,16,11,0.362,1,charliehebdo,553502180666531840
1,9,10,8,-0.0726,1,charliehebdo,553502311872733184
1,19,20,16,0.1803,1,charliehebdo,553502446769942528
3,18,24,21,0.375,1,charliehebdo,553503184174710784
3,19,22,14,0.4167,1,charliehebdo,553503546382249984
6,9,22,7,0.1009,1,charliehebdo,553503909692841984
2,15,17,9,0.3023,1,charliehebdo,553505242554175489
3,12,19,13,0.478,1,charliehebdo,553505371290357761
1,8,9,8,0.4309,1,charliehebdo,553505858811080704
2,22,27,21,0.6127,1,charliehebdo,553506608203169792
7,10,20,6,0.1748,1,charliehebdo,553508098825261056
1,5,6,5,0.3267,1,charliehebdo,553512735192141826
3,18,26,20,0.4468,1,charliehebdo,553513403512532992
1,6,7,6,-0.4886,1,charliehebdo,553515054503821312
2,9,11,6,0.4276,1,charliehebdo,553515399438811136
1,5,6,5,0.2189,1,charliehebdo,553517713147301888
4,5,12,9,0.1995,1,charliehebdo,553518024272379905
1,1,2,2,0.0,1,charliehebdo,553518053838061568
2,19,21,21,0.1272,1,charliehebdo,553518472798683136
3,6,9,7,0.268,1,charliehebdo,553519375521951744
2,11,14,13,0.2502,1,charliehebdo,553521417598550016
1,2,3,3,-0.0043,1,charliehebdo,553524086417424384
2,18,21,21,0.421,1,charliehebdo,553528788383191040
1,18,19,7,0.4422,1,charliehebdo,553529101659566080
14,8,48,14,-0.0295,1,charliehebdo,553529196216344576
3,6,10,9,0.2277,1,charliehebdo,553529334892609536
8,12,21,20,0.1989,1,charliehebdo,553529796601585664
1,6,7,7,-0.3235,1,charliehebdo,553529935789559808
2,6,8,8,0.1471,1,charliehebdo,553529941938425857
1,3,4,3,0.1484,1,charliehebdo,553530524183326720
1,4,5,5,-0.1049,1,charliehebdo,553530558614351873
1,2,3,3,-0.0789,1,charliehebdo,553530667821457408
1,4,5,3,0.1504,1,charliehebdo,553531130163773440
1,6,7,6,0.1781,1,charliehebdo,553531316797718528
4,18,24,21,0.4871,1,charliehebdo,553531343834202112
2,14,16,13,0.5602,1,charliehebdo,553531413459660800
2,17,19,16,0.5372,1,charliehebdo,553531695480463360
1,7,8,7,0.4025,1,charliehebdo,553531781690163201
2,12,15,10,0.3849,1,charliehebdo,553531971457265664
1,3,4,3,0.1621,1,charliehebdo,553532980871053312
1,3,4,3,0.1052,1,charliehebdo,553532980896231424
5,4,10,5,0.1489,1,charliehebdo,553533499643547648
0,0,1,1,0.0,1,charliehebdo,553533607126388737
7,7,14,7,0.3109,1,charliehebdo,553534707108155392
1,4,5,3,-0.2897,1,charliehebdo,553534768537939968
1,7,8,8,0.2163,1,charliehebdo,553534838880608256
1,8,9,7,0.1171,1,charliehebdo,553535221828964352
2,14,19,14,0.3699,1,charliehebdo,553535430788780032
2,19,21,20,0.6063,1,charliehebdo,553535441828605953
3,17,25,22,0.6263,1,charliehebdo,553535467065712640
1,5,6,5,0.1048,1,charliehebdo,553535829017370625
1,2,3,3,-0.8167,1,charliehebdo,553535829529100288
2,9,12,11,0.1885,1,charliehebdo,553535862911541248
1,1,2,2,0.0,1,charliehebdo,553535971959275520
8,11,20,17,0.5782,1,charliehebdo,553536236493615104
3,10,16,16,0.1207,1,charliehebdo,553536269972942849
1,6,7,5,0.1553,1,charliehebdo,553536397731442688
3,17,20,14,0.4557,1,charliehebdo,553536603998945280
3,17,20,19,0.0963,1,charliehebdo,553536887349325825
2,3,5,5,-0.4076,1,charliehebdo,553537537126694912
1,4,5,5,-0.1518,1,charliehebdo,553537939041701888
2,17,20,20,0.0448,1,charliehebdo,553538058440941568
9,7,31,7,0.3996,1,charliehebdo,553540617540624385
5,12,17,12,0.335,1,charliehebdo,553540739058376704
1,20,21,20,-0.1117,1,charliehebdo,553541676229472256
2,14,18,15,0.5846,1,charliehebdo,553541776854634496
1,13,14,13,0.2532,1,charliehebdo,553541988490825728
2,5,7,7,0.1461,1,charliehebdo,553542235661553665
4,11,15,8,0.3785,1,charliehebdo,553542442373619712
12,13,59,46,0.7007,1,charliehebdo,553542565593878528
4,9,24,20,0.0471,1,charliehebdo,553543369604210689
1,14,15,11,0.5578,1,charliehebdo,553544252563935234
2,17,20,20,0.0724,1,charliehebdo,553544419602104320
1,14,15,14,0.3908,1,charliehebdo,553544694765215745
2,14,17,14,0.5047,1,charliehebdo,553545906155712512
3,9,12,11,0.4995,1,charliehebdo,553546029212389376
5,18,24,17,0.2501,1,charliehebdo,553546063752478722
2,18,20,20,0.1397,1,charliehebdo,553547270264979456
2,15,17,16,0.5686,1,charliehebdo,553547836517007360
9,9,23,17,0.0268,1,charliehebdo,553548567420628992
4,9,24,15,0.3042,1,charliehebdo,553549686129561600
2,18,20,20,0.0824,1,charliehebdo,553550301886955520
1,3,4,3,0.0862,1,charliehebdo,553550448154910720
2,18,21,12,0.5148,1,charliehebdo,553551225560764416
1,8,9,5,0.4438,1,charliehebdo,553551286793416704
1,8,9,9,-0.1293,1,charliehebdo,553551598954491904
3,10,13,10,0.3135,1,charliehebdo,553552293371871233
1,8,9,8,0.2113,1,charliehebdo,553552825431883776
1,3,4,3,0.1601,1,charliehebdo,553553173743677440
1,3,4,4,-0.2759,1,charliehebdo,553553244845522945
11,11,26,17,-0.0456,1,charliehebdo,553553288625672192
3,9,12,4,0.1614,1,charliehebdo,553553724548059137
1,4,5,5,-0.1862,1,charliehebdo,553553813542797312
4,4,8,4,0.1522,1,charliehebdo,553554351633858560
4,11,22,21,0.0404,1,charliehebdo,553554585634496512
4,16,20,20,0.2617,1,charliehebdo,553554835203956736
4,17,26,21,0.5331,1,charliehebdo,553555600911925249
3,12,21,21,0.0856,1,charliehebdo,553555979238129664
2,5,7,7,-0.2539,1,charliehebdo,553556060569862145
7,12,20,20,0.0272,1,charliehebdo,553556643456507904
2,18,20,15,0.1161,1,charliehebdo,553556844665659392
1,5,6,6,-0.6451,1,charliehebdo,553556984273072128
8,18,33,32,0.6256,1,charliehebdo,553557308937363458
3,15,21,21,0.2555,1,charliehebdo,553557753558757376
3,6,11,8,0.1781,1,charliehebdo,553558131369062400
6,16,23,23,0.1395,1,charliehebdo,553558385048944640
4,4,8,8,-0.1209,1,charliehebdo,553558513210105856
3,8,14,10,0.5283,1,charliehebdo,553558982476828674
12,6,29,15,0.6656,1,charliehebdo,553559793940447234
7,17,32,22,0.5362,1,charliehebdo,553561170637238272
3,6,9,5,0.0901,1,charliehebdo,553561452318322688
3,13,20,16,0.1233,1,charliehebdo,553563668169125889
3,9,12,12,0.0618,1,charliehebdo,553566026030272512
1,8,9,8,0.1013,1,charliehebdo,553566877956734976
1,8,9,6,-0.0979,1,charliehebdo,553572740125712385
1,11,12,5,0.2239,1,charliehebdo,553572754746638337
2,20,22,21,0.1888,1,charliehebdo,553573365798416385
1,11,12,3,0.3713,1,charliehebdo,553574345235103746
2,18,20,19,0.1893,1,charliehebdo,553574501964079104
2,10,13,12,-0.1727,1,charliehebdo,553575232867672064
1,9,10,7,0.195,1,charliehebdo,553575984054951936
3,20,24,15,0.5327,1,charliehebdo,553576010898497536
3,19,24,21,0.4175,1,charliehebdo,553576849943826432
3,16,20,19,0.2114,1,charliehebdo,553578029751226369
4,11,26,18,0.4557,1,charliehebdo,553579224402235393
3,15,21,21,0.0226,1,charliehebdo,553580959661309952
4,14,20,19,0.5307,1,charliehebdo,553585504093224962
2,10,12,11,0.3346,1,charliehebdo,553586781355278336
1,19,20,20,-0.08,1,charliehebdo,553586860334010368
2,10,13,11,0.36,1,charliehebdo,553586897168392192
1,1,2,2,0.0,1,charliehebdo,553586978017775616
5,19,35,34,0.6903,1,charliehebdo,553587013409325058
6,18,26,22,0.4094,1,charliehebdo,553587167394791424
4,14,24,24,-0.0977,1,charliehebdo,553587225901154304
2,17,22,21,0.4463,1,charliehebdo,553587303172833280
1,7,8,8,0.0449,1,charliehebdo,553587329626292224
0,0,1,1,0.0,1,charliehebdo,553587511839444994
0,0,1,1,0.0,1,charliehebdo,553587511864598529
8,18,28,23,0.1584,1,charliehebdo,553587672137334785
3,3,8,7,0.4002,1,charliehebdo,553587735613952001
1,4,5,5,0.0141,1,charliehebdo,553587861837328385
2,14,16,14,0.3636,1,charliehebdo,553588012752568321
4,9,16,12,0.1901,1,charliehebdo,553588053348843520
3,3,6,5,0.277,1,charliehebdo,553588080964558849
1,2,3,3,-0.0412,1,charliehebdo,553588106587545600
1,12,13,13,-0.0543,1,charliehebdo,553588178687655936
0,0,1,1,0.0,1,charliehebdo,553588340432572416
2,19,22,22,0.0494,1,charliehebdo,553588374280601600
19,17,45,14,-0.101,1,charliehebdo,553588494661337089
1,2,3,3,-0.1955,1,charliehebdo,553588760060125185
1,10,11,11,0.2883,1,charliehebdo,553588913747808256
5,11,18,18,-0.0133,1,charliehebdo,553588946039746560
2,19,21,21,0.5339,1,charliehebdo,553588993993232384
1,8,9,7,0.1647,1,charliehebdo,553589051044151296
1,15,16,14,0.5559,1,charliehebdo,553589055116836864
4,19,27,27,0.2608,1,charliehebdo,553589121776898048
1,9,10,10,-0.2698,1,charliehebdo,553589285342175232
1,1,2,2,0.0,1,charliehebdo,553589295525941248
2,3,6,5,0.1459,1,charliehebdo,553589372084162560
1,19,20,18,0.1799,1,charliehebdo,553589606307090432
0,0,1,1,0.0,1,charliehebdo,553589720480235522
1,19,20,20,0.0531,1,charliehebdo,553590459688570880
1,6,7,5,0.085,1,charliehebdo,553590522800275456
2,10,12,9,0.0481,1,charliehebdo,553590529548886016
4,16,22,22,-0.0543,1,charliehebdo,553590653784195072
3,18,24,21,0.4793,1,charliehebdo,553590721207615488
5,16,21,15,0.3957,1,charliehebdo,553590835850514433
1,3,4,4,-0.2391,1,charliehebdo,553590891852886019
2,19,21,20,0.3318,1,charliehebdo,553591259672379392
14,8,40,11,0.4299,0,charliehebdo,552784600502915072
2,8,10,5,0.4604,0,charliehebdo,552784898743099392
6,6,32,14,0.538,0,charliehebdo,552785391653494784
2,4,6,5,0.2962,0,charliehebdo,552786116404072448
2,8,11,6,0.0938,0,charliehebdo,552786299875520512
3,12,18,14,0.2851,0,charliehebdo,552786340958715904
4,10,14,10,0.0043,0,charliehebdo,552787144373460992
4,3,7,5,-0.0231,0,charliehebdo,552787144415404032
3,17,24,14,0.5837,0,charliehebdo,552787321561812992
19,16,111,22,0.7754,0,charliehebdo,552787361437057024
1,5,6,5,0.1947,0,charliehebdo,552787599031828480
1,6,7,5,0.2362,0,charliehebdo,552787914271510529
4,11,15,10,0.4697,0,charliehebdo,552788007603142656
3,21,38,22,0.3734,0,charliehebdo,552788555584765952
2,6,9,5,-0.0051,0,charliehebdo,552788720236376064
1,4,5,4,0.1292,0,charliehebdo,552789196906459136
4,13,18,5,0.249,0,charliehebdo,552789252690706432
4,15,20,20,0.3184,0,charliehebdo,552789443644751872
3,6,11,3,0.3636,0,charliehebdo,552789550238801920
2,13,15,10,0.5402,0,charliehebdo,552789583260577792
1,5,6,3,-0.2092,0,charliehebdo,552789886202175490
